Horodateur,Quel est le titre exact de votre post ? Ex : Développeur Mobile IOS,Combien d'années d'expériences avez-vous en Entreprise?,Quel était votre premier salaire en FCFA au Bénin ?,Quel est votre salaire actuel en FCFA au Bénin ?,Êtes-vous satisfait de votre rémunération mensuelle ?
11/06/2021 16:22:47,Developeur Backend,1 an,125000,125000,2
11/06/2021 16:50:34,IT & Data Analyste,3 à 5 ans,50000,420000,1
11/06/2021 17:11:11,Développeur Android et python,2 ans,150000,150000,3
11/06/2021 19:51:58,Développeur Web Frontend,Moins d'un an,100000,180000,2
11/06/2021 20:13:44,Full stack web developer,1 an,150000,200000,3
11/06/2021 20:48:42,IT Project Manager ,3 à 5 ans,160.000FCFA,300.000FCFA,1
11/06/2021 20:49:40,UX/UI DESIGNER ,2 ans,50.000FCFA,100.000FCFA,1
11/06/2021 22:02:02,Développeur Front-end,Moins d'un an,100000,180000,1
11/06/2021 23:03:49,Développeur Angular,3 à 5 ans,60000,250000,2
11/06/2021 23:38:52,Développeur web,3 à 5 ans,50000,500000,4
12/06/2021 01:09:47,DevOps,3 à 5 ans,150000,400000,1
12/06/2021 14:25:36,Lead developer,2 ans,30mille,150,1
12/06/2021 19:43:49,Développeur Web Full Stack,3 à 5 ans,100000,380000,2
13/06/2021 19:18:01,Full Stack Dev,Plus de 5 ans,120000,438000,1
13/06/2021 19:18:05,Developer back-end,2 ans,100000,300000,3
13/06/2021 19:27:51,Développeur front end,3 à 5 ans,150000,200000,2
13/06/2021 19:46:09,Développeur Front-end,3 à 5 ans,50.000,150.000,1
13/06/2021 19:52:16,Data Analyst ,"Stagiaire, Moins d'un an",50000,500000,5
13/06/2021 19:55:52,Frontend dev,2 ans,30.000,180.000,3
13/06/2021 20:00:26,Devops,2 ans,40000,1000000,3
13/06/2021 20:09:21,Project Manager Junior,Moins d'un an,50000,50000,1
13/06/2021 20:11:51,Data Analyst,3 à 5 ans,350000,500000,3
13/06/2021 20:16:30,Développeur Web Backend,3 à 5 ans,100000,200000,3
13/06/2021 20:34:29,Chef de projet web et mobile,3 à 5 ans,400000,1000000,3
13/06/2021 21:44:29,Développeur web et mobile ,Moins d'un an,100000,100000,1
13/06/2021 22:22:46,Développeur Web,Stagiaire,25000,50000,4
14/06/2021 19:35:27,Développeur Web,2 ans,100000,150000,1
14/06/2021 19:36:49,Big Data Manager,Moins d'un an,200000,200000,1
15/06/2021 10:34:56,Manager,Plus de 10 ans,160000,978344,1
15/06/2021 10:49:39,Développeur web et mobile,3 à 5 ans,100000,200000,1
23/06/2021 15:33:17,Développeur Web,Plus de 5 ans,50.000 FCFA,200.000fcfa,3
23/06/2021 15:36:09,Chef Division Applications et Base de Données,Plus de 5 ans,50000,375000,2
23/06/2021 15:39:32,Développeur Web FullStack et Mobile ,2 ans,75.000,160.000,2
23/06/2021 16:08:17,"Ingénieur réseau, système et securité",Plus de 5 ans,400.000,500.000,2
23/06/2021 16:47:21,Développeur JEE,3 à 5 ans,73325,225000,2
23/06/2021 19:28:12,Assistant technique ,Moins d'un an,125000,125000,3
23/06/2021 19:48:16,Développeur Web (Back end et front end) ,Plus de 10 ans,120000,500000,3
24/06/2021 08:59:06,Développeur web,1 an,0,40000,1